iter	Passed	Remaining
405	4866	7119
406	4878	7107
407	4888	7092
408	4898	7078
409	4910	7066
410	4920	7050
411	4931	7037
412	4943	7025
413	4952	7010
414	4963	6996
415	4975	6984
416	4985	6970
417	4996	6956
418	5007	6944
419	5017	6929
420	5028	6915
421	5039	6902
422	5049	6888
423	5060	6874
424	5071	6861
425	5082	6847
426	5092	6834
427	5102	6819
428	5112	6805
429	5124	6792
430	5133	6777
431	5144	6764
432	5156	6751
433	5165	6736
434	5176	6723
435	5187	6710
436	5196	6695
437	5208	6682
438	5219	6670
439	5229	6656
440	5242	6644
441	5253	6632
442	5263	6617
443	5274	6604
444	5285	6591
445	5294	6577
446	5306	6564
447	5317	6551
448	5327	6537
449	5337	6524
450	5348	6510
451	5358	6496
452	5370	6484
453	5379	6469
454	5389	6456
455	5402	6444
456	5411	6429
457	5421	6416
458	5433	6403
459	5443	6390
460	5454	6377
461	5467	6366
462	5476	6352
463	5486	6338
464	5498	6326
465	5508	6312
466	5518	6298
467	5530	6286
468	5539	6272
469	5550	6259
470	5562	6247
471	5573	6234
472	5584	6221
473	5597	6212
474	5612	6203
475	5624	6191
476	5637	6181
477	5651	6171
478	5665	6162
479	5677	6150
480	5687	6137
481	5699	6125
482	5711	6113
483	5721	6099
484	5732	6086
485	5743	6074
486	5753	6060
487	5765	6048
488	5776	6036
489	5786	6023
490	5813	6026
491	5825	6015
492	5835	6000
493	5845	5987
494	5858	5976
495	5869	5963
496	5879	5950
497	5892	5939
498	5901	5925
499	5912	5912
500	5923	5899
501	5933	5886
502	5944	5873
503	5956	5862
504	5966	5848
505	5978	5837
506	5991	5825
507	6001	5812
508	6012	5800
509	6024	5788
510	6036	5776
511	6046	5762
512	6058	5751
513	6071	5740
514	6081	5726
515	6093	5715
516	6104	5703
517	6115	5690
518	6126	5677
519	6137	5665
520	6147	5652
521	6159	5640
522	6171	5628
523	6184	5617
524	6195	5605
525	6206	5593
526	6218	5581
527	6229	5568
528	6240	5556
529	6254	5546
530	6266	5534
531	6276	5521
532	6288	5509
533	6301	5498
534	6311	5485
535	6322	5473
536	6334	5461
537	6345	5448
538	6355	5436
539	6367	5424
540	6379	5412
541	6390	5399
542	6402	5388
543	6414	5376
544	6425	5364
545	6436	5351
546	6448	5340
547	6458	5327
548	6469	5314
549	6482	5303
550	6494	5292
551	6504	5278
552	6517	5267
553	6529	5256
554	6538	5242
555	6550	5231
556	6562	5219
557	6572	5206
558	6583	5194
559	6595	5182
560	6606	5169
561	6617	5157
562	6629	5145
563	6642	5134
564	6653	5122
565	6667	5112
566	6681	5102
567	6694	5091
568	6708	5081
569	6720	5070
570	6732	5057
571	6745	5047
572	6758	5036
573	6768	5023
574	6784	5014
575	6797	5003
576	6811	4993
577	6823	4982
578	6834	4969
579	6848	4959
580	6861	4948
581	6874	4937
582	6887	4926
583	6898	4913
584	6910	4901
585	6922	4890
586	6932	4877
587	6944	4865
588	6956	4854
589	6967	4841
590	6978	4829
591	6990	4817
592	7000	4804
593	7011	4792
594	7024	4781
595	7036	4769
596	7046	4756
597	7057	4744
598	7068	4731
599	7077	4718
600	7088	4706
601	7098	4692
602	7108	4679
603	7119	4667
604	7128	4654
605	7141	4643
606	7153	4631
607	7165	4619
608	7176	4607
609	7189	4596
610	7204	4586
611	7219	4577
612	7230	4564
613	7240	4551
614	7252	4540
615	7265	4529
616	7274	4515
617	7287	4504
618	7301	4494
619	7313	4482
620	7323	4469
621	7335	4457
622	7347	4446
623	7356	4433
624	7369	4421
625	7382	4410
626	7392	4397
627	7403	4385
628	7415	4373
629	7424	4360
630	7435	4348
631	7446	4335
632	7456	4323
633	7467	4311
634	7479	4298
635	7488	4285
636	7499	4273
637	7510	4261
638	7520	4248
639	7531	4236
640	7542	4224
641	7552	4211
642	7563	4199
643	7574	4187
644	7584	4174
645	7596	4162
646	7607	4150
647	7616	4137
648	7627	4125
649	7638	4112
650	7648	4100
651	7659	4088
652	7669	4075
653	7679	4062
654	7690	4050
655	7700	4038
656	7712	4026
657	7726	4015
658	7739	4004
659	7750	3992
660	7763	3981
661	7777	3970
662	7791	3960
663	7802	3948
664	7814	3936
665	7830	3926
666	7845	3916
667	7859	3906
668	7872	3894
669	7885	3884
670	7899	3872
671	7910	3861
672	7923	3849
673	7969	3854
674	8003	3853
675	8023	3845
676	8046	3839
677	8060	3827
678	8073	3816
679	8086	3805
680	8098	3793
681	8111	3782
682	8123	3770
683	8134	3758
684	8144	3745
685	8155	3732
686	8166	3720
687	8175	3707
688	8186	3695
689	8197	3683
690	8207	3670
691	8219	3658
692	8231	3646
693	8243	3634
694	8256	3623
695	8269	3611
696	8282	3600
697	8291	3587
698	8303	3575
699	8317	3564
700	8329	3553
701	8339	3540
702	8350	3527
703	8361	3515
704	8371	3503
705	8382	3490
706	8394	3478
707	8405	3466
708	8417	3454
709	8429	3442
710	8439	3430
711	8450	3418
712	8462	3406
713	8472	3393
714	8483	3381
715	8494	3369
716	8503	3356
717	8515	3344
718	8527	3332
719	8536	3319
720	8547	3307
721	8559	3295
722	8568	3282
723	8579	3270
724	8591	3258
725	8600	3246
726	8612	3234
727	8624	3222
728	8633	3209
729	8645	3197
730	8656	3185
731	8666	3173
732	8678	3161
733	8689	3149
734	8699	3136
735	8711	3124
736	8723	3112
737	8733	3100
738	8744	3088
739	8755	3076
740	8767	3064
741	8779	3052
742	8793	3041
743	8809	3031
744	8822	3019
745	8836	3008
746	8848	2996
747	8859	2984
748	8872	2973
749	8884	2961
750	8894	2948
751	8906	2937
752	8917	2925
753	8927	2912
754	8938	2900
755	8950	2888
756	8959	2876
757	8971	2864
758	8984	2852
759	8993	2840
760	9005	2828
761	9016	2816
762	9027	2804
763	9039	2792
764	9050	2780
765	9061	2768
766	9074	2756
767	9085	2744
768	9096	2732
769	9107	2720
770	9120	2708
771	9132	2697
772	9143	2685
773	9153	2672
774	9166	2661
775	9177	2649
776	9188	2637
777	9200	2625
778	9211	2613
779	9222	2601
780	9234	2589
781	9246	2577
782	9255	2565
783	9267	2553
784	9279	2541
785	9289	2529
786	9301	2517
787	9313	2505
788	9325	2493
789	9336	2481
790	9348	2469
791	9359	2458
792	9369	2445
793	9380	2433
794	9393	2422
795	9404	2410
796	9416	2398
797	9429	2386
798	9440	2374
799	9451	2362
800	9463	2351
801	9476	2339
802	9486	2327
803	9498	2315
804	9511	2303
805	9523	2292
806	9536	2280
807	9547	2268
808	9560	2257
809	9572	2245
810	9583	2233
811	9595	2221
812	9607	2209
813	9617	2197
814	9630	2186
815	9642	2174
816	9653	2162
817	9663	2150
818	9675	2138
819	9687	2126
820	9697	2114
821	9709	2102
822	9720	2090
823	9731	2078
824	9742	2066
825	9755	2055
826	9767	2043
827	9777	2031
828	9791	2019
829	9804	2008
830	9818	1996
831	9830	1985
832	9843	1973
833	9863	1963
834	9878	1952
835	9894	1940
836	9910	1929
837	9928	1919
838	9943	1908
839	9960	1897
840	9975	1885
841	9993	1875
842	10006	1863
843	10018	1851
844	10030	1839
845	10042	1828
846	10054	1816
847	10066	1804
848	10076	1792
849	10087	1780
850	10099	1768
851	10108	1756
852	10120	1744
853	10132	1732
854	10142	1720
855	10152	1707
856	10164	1695
857	10173	1683
858	10184	1671
859	10195	1659
860	10205	1647
861	10216	1635
862	10228	1623
863	10239	1611
864	10252	1600
865	10266	1588
866	10281	1577
867	10293	1565
868	10304	1553
869	10317	1541
870	10329	1529
871	10339	1517
872	10350	1505
873	10361	1493
874	10371	1481
875	10383	1469
876	10395	1457
877	10407	1446
878	10418	1434
879	10429	1422
880	10441	1410
881	10451	1398
882	10462	1386
883	10473	1374
884	10483	1362
885	10493	1350
886	10505	1338
887	10516	1326
888	10526	1314
889	10538	1302
890	10548	1290
891	10558	1278
892	10569	1266
893	10579	1254
894	10589	1242
895	10599	1230
896	10610	1218
897	10621	1206
898	10630	1194
899	10641	1182
900	10652	1170
901	10662	1158
902	10673	1146
903	10684	1134
904	10694	1122
905	10705	1110
906	10716	1098
907	10725	1086
908	10737	1074
909	10747	1062
910	10758	1051
911	10771	1039
912	10783	1027
913	10793	1015
914	10805	1003
915	10816	991
916	10825	979
917	10836	967
918	10848	956
919	10858	944
920	10871	932
921	10883	920
922	10893	908
923	10905	896
924	10917	885
925	10931	873
926	10942	861
927	10954	849
928	10967	838
929	10979	826
930	10989	814
931	11000	802
932	11010	790
933	11020	778
934	11031	766
935	11041	754
936	11051	743
937	11063	731
938	11073	719
939	11084	707
940	11096	695
941	11105	683
942	11115	671
943	11127	660
944	11137	648
945	11147	636
946	11158	624
947	11168	612
948	11180	600
949	11218	590
950	11239	579
951	11252	567
952	11266	555
953	11278	543
954	11290	532
955	11302	520
956	11315	508
957	11329	496
958	11341	484
959	11351	472
960	11362	461
961	11374	449
962	11384	437
963	11396	425
964	11407	413
965	11420	401
966	11430	390
967	11441	378
968	11452	366
969	11462	354
970	11474	342
971	11485	330
